file,Assays,treatment,date,day,format,plant_region_red_channel,plant_region_green_channel,plant_region_blue_channel,plant_region_chroma_ratio,plant_region_chroma_difference,plant_region_chroma_base,plant_region_green_strength,plant_region_blue_green_ratio,total_area,class_background_area,plant_region_area,plant_region_filled_area,plant_region_convex_area,plant_region_equivalent_diameter,plant_region_major_axis_length,plant_region_minor_axis_length,plant_region_perimeter,plant_region_eccentricity,plant_region_extent,plant_region_solidity,plant_region_aspect_ratio
hP_c36,Experiment 1,highP_control,22.05.22,day 13,jpg,127.96265132652200,153.17910191465600,113.70945307804600,1.2676605956824000,-32.34304971237230,1.577709370167320,0.3879413294506080,0.7423300675923740,12689910,12252278,437632,459849,4907785,746.4652493194430,1107.1444393815600,861.3548812044940,7124.891485709900,0.6282681820679450,0.06532683794799760,0.08917098039135780,1.2853522555457700
hP_c37,Experiment 1,highP_control,22.05.22,day 13,jpg,120.38800859406500,148.5326977306300,103.95259836175600,1.324171310278040,-36.36239425271920,1.5103785926158300,0.3983462904525460,0.6998633967470160,12689910,12130089,559821,566692,2213922,844.2666848651460,1337.115580427980,943.8699427747510,8802.011326757040,0.7083114656720170,0.11518310711133300,0.25286392203519400,1.4166311690116800
hP_c38,Experiment 1,highP_control,22.05.22,day 13,jpg,126.03678516228700,152.7132405976300,110.06254507985600,1.2936355257002000,-34.66357547655850,1.5460305165301200,0.39276826947182700,0.7207138336475310,12689910,12325548,364362,371721,1109148,681.1168086303500,867.0470305183860,703.6344932061420,5634.322943214980,0.5843110494810220,0.09422947217716580,0.3285062047625750,1.2322406574578900
hP_c39,Experiment 1,highP_control,22.05.22,day 13,jpg,148.61702542125300,178.20804519333800,136.08054933281400,1.2519112278865100,-35.85925781630470,1.597557363053940,0.38497706122813100,0.7636049718472590,12689910,12302595,385863,394068,1595378,700.925124710296,940.3459688838830,812.4001747151600,6008.080302527860,0.503598989671012,0.09701168324747520,0.24186305690563600,1.1574910963228000
hP_c40,Experiment 1,highP_control,22.05.22,day 13,jpg,127.62871949180900,154.90354396522900,109.35172183216300,1.3073107898677900,-36.413323303243100,1.5298580991611600,0.39527908712807900,0.7059342803461560,12689910,12240297,449613,464156,2209553,756.6142025015200,1112.610536079070,833.8173180738920,7228.1463197058400,0.6620900931518430,0.05507355340559320,0.20348595394634100,1.334357672792390
hP_c41,Experiment 1,highP_control,25.05.22,day 16,jpg,123.65498323681800,151.24894849131400,112.22505333739700,1.2824226304859500,-33.308930204206000,1.5595482740679200,0.3906939400719680,0.7419889821174020,12689910,12073221,616371,628737,9530905,885.882572030829,1749.0260872779100,1199.495442559090,9788.780879378740,0.7277828586012310,0.054024241582813000,0.0646707736568563,1.4581348333816200
hP_c42,Experiment 1,highP_control,25.05.22,day 16,jpg,141.12052850219200,172.46665128086800,128.08262174013400,1.2813122812687700,-37.865076159704600,1.5608997347778300,0.3904877596024880,0.7426515258972990,12689910,12038806,651104,655879,3569199,910.5006098489140,1183.1193896069000,1015.5828916376000,8889.484414822460,0.5129905420952220,0.10495495234097600,0.18242300303233300,1.1649658529587400
hP_c43,Experiment 1,highP_control,25.05.22,day 16,jpg,122.28479480690900,152.8794146770820,108.19771151941900,1.3266031953039200,-37.638161513917900,1.5076098166202600,0.39878612428938200,0.7077323768406520,12689910,11994598,682897,708335,5696765,932.46526229185,1302.35440029606,959.7745691615640,10076.538238691600,0.6759434974129330,0.07183915784654530,0.11987452527882100,1.356937808254040
hP_c44,Experiment 1,highP_control,25.05.22,day 16,jpg,126.6520717270200,155.12382486072400,113.0798659470750,1.2941440040551300,-35.25785602367690,1.545423070178520,0.39286200070853800,0.7289651737803810,12689910,11823309,863443,888718,5042850,1048.5083558201900,1535.0820198442300,1241.2453660698100,12272.143361113000,0.5883784236749370,0.10370123138178800,0.1712212340244110,1.2367272916432300
hP_c45,Experiment 1,highP_control,25.05.22,day 16,jpg,119.9278510473240,149.69908844065200,104.78845034910800,1.332338486441720,-37.34093774243600,1.5011200384531400,0.3998208740986560,0.699993910722117,12689910,11915217,774693,799830,4153080,993.1614987651890,1308.3610075655400,1050.0003005404300,8850.940258945180,0.5966103869595430,0.13594215238012300,0.18653457193215600,1.2460577457855300
