file,Assays,treatment,SynCom9,date,day,format,plant_region_red_channel,plant_region_green_channel,plant_region_blue_channel,plant_region_chroma_ratio,plant_region_chroma_difference,plant_region_chroma_base,plant_region_green_strength,plant_region_blue_green_ratio,total_area,class_background_area,plant_region_area,plant_region_filled_area,plant_region_convex_area,plant_region_equivalent_diameter,plant_region_major_axis_length,plant_region_minor_axis_length,plant_region_perimeter,plant_region_eccentricity,plant_region_extent,plant_region_solidity,plant_region_aspect_ratio
lP_c01,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,80.40245566166440,115.91268758526600,112.07366984993200,1.204437041499810,-19.67462482946790,1.6605268113554000,0.3758654097120540,0.9668800903912250,23982000,23909040,72960,72960,444436,304.78772479198900,1012.2687069332100,485.5068202998490,2108.2253967444200,0.877474947585237,0.09630818619582670,0.1641631190992630,2.0849731962735900
lP_c02,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,102.26877470355700,138.74308300395300,142.89328063241100,1.1318479347370500,-16.162055335968400,1.7670218221184000,0.3613993904950170,1.0299128254800300,23982000,23906290,75710,75810,901847,310.47860784907400,620.5273780714560,524.4693978558290,2439.6812408671300,0.534451019176964,0.04824025955821070,0.08394993829330250,1.1831526884282200
lP_c03,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,89.29542097488920,127.03988183161000,122.42836041358900,1.2000530218994400,-21.177991137370800,1.6665930283933700,0.3750103556681480,0.9637002069623050,23982000,23914719,67281,67281,2364771,292.6855476604990,1504.9097975087900,605.2506279131720,3500.9949493661200,0.915558866307368,0.012796297497322600,0.02845138070451640,2.486424182156630
lP_c04,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,87.25696202531650,123.23164556962000,117.91898734177200,1.2012289544632900,-20.643670886076000,1.664961531745300,0.37523993802082900,0.9568888478013010,23982000,23903659,78341,78341,381806,315.82726160687500,630.507496086017,270.6640823122460,2206.6101730552700,0.903171589856636,0.11476567386982700,0.2051853559137360,2.3294834345942000
lP_c05,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,102.80652173913000,138.38260869565200,132.77608695652200,1.1748117525468800,-20.591304347826100,1.7024004021616200,0.3700413895735480,0.9594853588035690,23982000,23936488,45512,45512,90935,240.72323975882900,371.56911514824200,255.87179785228800,1629.4974746830600,0.7251176113685720,0.37590855028412800,0.5004893605322480,1.4521690872815300
lP_c06,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,90.18817204301080,136.04032258064500,113.60752688172000,1.3350656888091600,-34.142473118279600,1.4980536289446100,0.40031166201283000,0.835101863378584,23982000,23944980,37020,37020,44686,217.1067201771880,353.297092446937,148.22739071000900,1093.840620433570,0.9077301404624400,0.547058562752139,0.8284473884438080,2.383480480595690
lP_c07,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,76.13920817369090,112.20178799489100,105.68326947637300,1.2341905076316800,-21.290549169859500,1.6204953673139500,0.3816072382623650,0.9419036128121660,23982000,23904069,77931,77931,273833,314.9997316836250,655.1287964194140,355.74408843834300,3134.0660171779800,0.8397236620824480,0.17659295314103900,0.28459316444694400,1.8415732480483900
lP_c08,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,100.19759679572800,125.53671562082800,128.70894526034700,1.096838163673590,-11.083444592790400,1.823423059334020,0.35418000738290900,1.0252693375307100,23982000,23906679,74521,74521,635443,308.03097914529500,1151.2910179931600,480.2284457360110,3210.651803615610,0.9088506491839030,0.03534239740787960,0.11727409067375000,2.3973819714670700
lP_c09,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,107.63458646616500,138.24812030075200,130.66917293233100,1.1602680599727400,-19.09624060150380,1.7237395986294700,0.36714229234805700,0.9451786588350470,23982000,23916149,65851,65851,926825,289.55845223435500,1133.4981805382900,458.6913982344090,2374.953318805770,0.9144632998704960,0.03976581701359320,0.07105009036225830,2.4711563916422800
lP_c10,Experiment 2,lowP_control,no,17.06.22,day 04,JPG,101.09668508287300,133.7196132596690,132.7389502762430,1.143706031412250,-16.801795580110500,1.7487011041905500,0.36380819961670000,0.9926662741573960,23982000,23910259,71741,71741,255862,302.2308359165980,515.341026570709,320.89287162285700,2509.338095116620,0.7824760963768590,0.1552378520608650,0.2803894286763960,1.6059597209637800
